stop_id,stop_lat,stop_lon,stop_name
S2222,5.59143,-0.180979,37 Hospital
S2224,5.57356,-0.192916,GBC
S2225,5.574,-0.197472,Mobil 055
S2231,5.59628,-0.179383,Opeibea First
S2232,5.60069,-0.178533,Opeibea Second
S2233,5.60656,-0.177269,Airport First
S2234,5.60963,-0.176622,Airport Second
S2235,5.61728,-0.175814,Shangrila
S2237,5.62738,-0.176017,Shiashie Station (Accra End of Motorway)
S2239,5.64001,-0.169431,Banku Junction (E. Legon)
S2246,5.65651,-0.131416,Ability
S2247,5.65243,-0.129672,Otanor
S2253,5.64258,-0.160981,Gbewaa Junction
S2254,5.64185,-0.167062,Bawaleshie 2nd
S2255,5.64116,-0.169707,Bawaleshie Traffic Light
S2256,5.63947,-0.16991,East Legon
S2262,5.60464,-0.178083,Airport Second
S2263,5.59796,-0.179532,Opeibea
S2266,5.57083,-0.191023,Sankara 1
S2268,5.56277,-0.197291,Immigration
S2269,5.56051,-0.196534,Ridge 256
S227,5.55464,-0.208854,Tudu 2nd
S2271,5.55394,-0.201441,Novotel
S2275,5.64004,-0.144731,American House
S2276,5.64578,-0.144767,Bridge 256
S2278,5.64574,-0.137773,Gate 256
S228,5.56138,-0.21052,Champion
S2280,5.65189,-0.129293,Curve 082
S2282,5.67324,-0.127178,Obinim
S2283,5.67448,-0.12677,Shop
S2287,5.52819,-0.268342,Mamponse Station
S2288,5.52727,-0.266436,Atomic (by Agege)
S2289,5.52897,-0.264425,Agege Last Stop Station
S229,5.57217,-0.216148,Circle Bus Stop
S2290,5.52978,-0.263188,Vea
S2291,5.53112,-0.261184,Karikari
S2293,5.53177,-0.255202,Agege
S2294,5.53194,-0.253713,Two-O-Five
S2295,5.53237,-0.247325,Alolo
S2296,5.53286,-0.246272,Bamboi 2
S2298,5.53323,-0.234995,Roadside 260
S23,5.58464,-0.215927,Caprice Taxi Rank
S2300,5.54146,-0.209183,Post Office 172
S2308,5.53183,-0.255166,Agege
S231,5.58872,-0.218139,Alajo
S2311,5.52922,-0.264124,Agege Last Stop Station
S2315,5.52462,-0.271656,Yellow House 262
S2316,5.52539,-0.271253,Junction 262
S2318,5.53721,-0.210101,One Way 1
S2323,5.52574,-0.270957,Junction 262
S2324,5.52447,-0.271887,Yellow House 262
S2328,5.58249,-0.251672,Masalachi 240
S2330,5.59091,-0.252283,Darkuman Accra Station
S2332,5.59608,-0.253208,Bombay
S2333,5.59876,-0.254708,Masalachi 263
S2334,5.59986,-0.255146,Nyamekye
S2335,5.60515,-0.252326,Abrantie
S2337,5.60907,-0.238133,Roof Top
S2340,5.63572,-0.214421,Achimota Village
S2341,5.65146,-0.209448,Sign Board 121
S2345,5.64487,-0.210509,Junction 1
S235,5.57046,-0.200013,Sunny FM
S2351,5.62098,-0.223636,Achimota Forest
S2352,5.62097,-0.226134,Achimota New Station
S2354,5.61962,-0.230456,New Overhead
S2355,5.61579,-0.22952,Achimota Old Station
S2356,5.61053,-0.233933,Akweteman
S2357,5.60781,-0.24579,Abeka Lapaz Station
S2359,5.60706,-0.248526,Traffic Light (Lapaz)
S2362,5.60077,-0.255516,Nyamekye
S2363,5.59839,-0.254556,Masalachi 263
S2364,5.59577,-0.252988,Mambo 263
S2365,5.5929,-0.252417,Alafia
S2366,5.58862,-0.251135,Darkuman Accra Station
S237,5.56256,-0.204417,Mental Hosp.
S2370,5.56765,-0.257666,Curve 240
S2371,5.5669,-0.258246,Grammer
S2373,5.56302,-0.260301,Akukor Photo
S2375,5.54979,-0.264626,Sahara 2
S238,5.55745,-0.205691,Tigo 331
S2380,5.53312,-0.265282,Kofi Ne Ama
S2387,5.5583,-0.264003,Roundabout ADB
S2388,5.55864,-0.261176,Zodiac
S239,5.55409,-0.204848,Accra Poly
S2390,5.56011,-0.260191,Post Office 264
S2394,5.56819,-0.256525,Sharp Curve
S24,5.58513,-0.212859,Stop A
S2401,5.55347,-0.24754,Banku Junction
S2403,5.55113,-0.247496,Borla Junction 1
S2407,5.55755,-0.244495,Seven Great 265
S2409,5.56149,-0.238558,Abossey Okai Asoredanho
S241,5.59872,-0.223758,Abeka Junction
S2410,5.56225,-0.237482,Junction 265
S2414,5.58925,-0.241765,De Mod
S242,5.60422,-0.225659,Tesano
S2421,5.5534,-0.243858,First Junction 267
S2422,5.54802,-0.243843,Lotto Kiosk
